plant.sp,genus,species,k.type
Thymus praecox,Thymus,praecox,5.1
Thymus pulegioides,Thymus,pulegioides,5.1
Tofieldia calyculata,Tofieldia,calyculata,1.2a
Tofieldia pusilla,Tofieldia,pusilla,1.2a
Tragopogon minor,Tragopogon,minor,7.2b
Tragopogon orientalis,Tragopogon,orientalis,7.2b
Tragopogon pratensis,Tragopogon,pratensis,7.2b
Traunsteinera globosa,Traunsteinera,globosa,7.1
Trifolium badium,Trifolium,badium,6.1a
Trifolium medium,Trifolium,medium,6.1a
Trifolium montanum,Trifolium,montanum,6.1a
Trifolium pratense,Trifolium,pratense,6.1a
Trifolium repens,Trifolium,repens,6.1a
Trisetum flavescens,Trisetum,flavescens,0
Trollius europaeus,Trollius,europaeus,1.2bf
Tussilago farfara,Tussilago,farfara,7.2c
Urtica dioica,Urtica,dioica,0
Vaccinium myrtillus,Vaccinium,myrtillus,3.1
Vaccinium vitis-idaea,Vaccinium,vitis-idaea,3.1
