year;sample_number;size;ecto-mites_xs;ecto-mites_s;ecto-mites_m;ecto-mites_l;tracheal-mites;parasite_apicystis;parasite_nosema;parasite_crithidia;parasitoid_braconidae_larvae;parasitoid_conopidae_ventral_egg;parasitoid_conopidae_ventral_larvae;parasitoid_conopidae_dorsal_egg;parasitoid_conopidae_dorsal_larvae;parasitoid_conopidae_dead_larvae;nematode;ovary_development;fatbody_look;comment;dissector
2011;225;3.9;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2011;226;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2011;227;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;228;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;229;3.4;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2011;230;2.9;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2011;231;3.9;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2011;232;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;233;3.2;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;234;3.9;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;235;3.7;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;236;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;238;3.5;0;0;0;0;1;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;237;3.2;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2011;239;2.7;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
